Date,Text,SA
26-12-2011,Japan  India stocks up in light post Christmas trading,0
27-12-2011,Netural,0
28-12-2011,BRIC decade ends with record outflows as growth slows,0.3818
29-12-2011,Netural,0
30-12-2011,Netural,0
31-12-2011,Netural,0
01-01-2012,Punjab Chemicals Live Stock Price  Share Chart  Quotes  NSE  BSE    ,0.296
02-01-2012,Netural,0
03-01-2012,Netural,0
04-01-2012,Netural,0
05-01-2012,Netural,0
06-01-2012,Netural,0
07-01-2012,Netural,0
08-01-2012,Netural,0
09-01-2012,Netural,0
10-01-2012,Netural,0
11-01-2012,Netural,0
12-01-2012,Netural,0
13-01-2012,Netural,0
14-01-2012,Sonata Software Live Stock Price  Share Chart  Quotes  NSE  BSE  Sonata Software  SONATA  is an information tech  MT  Siyaram Silk Mills Live Stock Price  Share Chart  Quotes  NSE  BSE    MT  Siyaram Silk Mills Live Stock Price  Share Chart  Quotes  NSE  BSE   ,0.6808
15-01-2012,Netural,0
16-01-2012,Have you seen Blue Circle Services  It s a BSE listed company whose stock price increased some   x in a year  Or am I seeing it wrong  ,-0.25
17-01-2012,MT  Sumeet Industries Live Stock Price  Share Chart  Quotes  NSE  BSE ,0.296
18-01-2012,Netural,0
19-01-2012,Netural,0
20-01-2012,Netural,0
21-01-2012,Netural,0
22-01-2012,Netural,0
23-01-2012,Shree Cement Live Stock Price  Share Chart  Quotes  NSE  BSE     MT  Sical Logistics Live Stock Price  Share Chart  Quotes  NSE  BSE   ,0.5267
24-01-2012,Netural,0
25-01-2012,wow stock price up by     pts            BSE n by   pts          ,0.5859
26-01-2012,Netural,0
27-01-2012,Netural,0
28-01-2012,Netural,0
29-01-2012,Netural,0
30-01-2012,Netural,0
31-01-2012,Netural,0
01-02-2012,Netural,0
02-02-2012,Netural,0
03-02-2012,Netural,0
04-02-2012,Netural,0
05-02-2012,Netural,0
06-02-2012,Videocon Industries Stock Price  Share Price  Live BSE NSE  Videocon Industries Bids Offers  Buy SelL,0.296
07-02-2012,Netural,0
08-02-2012,Netural,0
09-02-2012,Netural,0
10-02-2012,Netural,0
11-02-2012,Netural,0
12-02-2012,Netural,0
13-02-2012,Netural,0
14-02-2012,Netural,0
15-02-2012,Netural,0
16-02-2012,Netural,0
17-02-2012,Netural,0
18-02-2012,Netural,0
19-02-2012,Netural,0
20-02-2012,Netural,0
21-02-2012,Bse and nse nse   bse NSE BSE Share Stock Price Exchange Nifty Sexsex India Live EOD ,0.5994
22-02-2012,Netural,0
23-02-2012,Netural,0
24-02-2012,Netural,0
25-02-2012,Netural,0
26-02-2012,Netural,0
27-02-2012,Netural,0
28-02-2012,Netural,0
29-02-2012,Netural,0
01-03-2012,Netural,0
02-03-2012,Textile Surat Surat Textile Mills Stock Price  Share Price  Live BSE NSE  Surat,0.296
03-03-2012,stocks bse nse Gujarat Gas  BG stake sale to keep the stock price in check  Gujarat Gas  BG stake sale to keep the stock price in check  Gujarat Gas  BG stake sale to keep the stock price in check ,0
04-03-2012,Netural,0
05-03-2012,Netural,0
06-03-2012,S P     set for worst drop of     ,-0.7351
07-03-2012,Netural,0
08-03-2012,Netural,0
09-03-2012,Netural,0
10-03-2012,MCX Stock Price   MCX Share Price NSE BSE Script code,0.296
11-03-2012,Netural,0
12-03-2012,Netural,0
13-03-2012,Netural,0
14-03-2012,Netural,0
15-03-2012,Netural,0
16-03-2012,Netural,0
17-03-2012,Netural,0
18-03-2012,Netural,0
19-03-2012,Netural,0
20-03-2012,Bajaj Corp Stock Price  Share Price  Live BSE NSE  Bajaj Corp Bids Offers  Buy Sell Bajaj Corp news ,0.296
21-03-2012,Harper to talk energy  free trade on second Asia visit Sensex Live            Change                 stock price ,0.6597
22-03-2012,Netural,0
23-03-2012,Netural,0
24-03-2012,Netural,0
25-03-2012,Netural,0
26-03-2012,Netural,0
27-03-2012,Netural,0
28-03-2012,Netural,0
29-03-2012,Nagarjuna Oil Refinery Stock Price  Share Price  Live BSE NSE  ,0.296
30-03-2012,Netural,0
31-03-2012,Netural,0
01-04-2012,Netural,0
02-04-2012,Netural,0
03-04-2012,Netural,0
04-04-2012,Sensex Live            Change                   stock price nse ,0
05-04-2012,Netural,0
06-04-2012,Jeff s Tfeeds   You  TVS Motor stock price set to skid further on rising competition  TVS Motor stock price set to skid further on rising competition,0
07-04-2012,Netural,0
08-04-2012,Sensex Live            Change                   intraday stock price ,0
09-04-2012,Netural,0
10-04-2012,Netural,0
11-04-2012,Netural,0
12-04-2012,Netural,0
13-04-2012,Sensex Live            Change                   nse stock price Sensex Live            Change                 future stock price ,0
14-04-2012,Sensex Live            Change                   live stock price,0
